Wie	KOUS
seine	PPOSAT
Vorgänger	NN
verfolgt	VVFIN
auch	ADV
Ammianus	NN
die	ART
didaktische	ADJA
Absicht	NN
,	$,
am	APPRART
berichteten	ADJA
Geschehen	NN
das	ART
Beispielhafte	NN
im	APPRART
doppelten	ADJA
Sinne	NN
zu	PTKZU
zeigen	VVINF
:	$.
es	PPER
lässt	VVFIN
einerseits	ADV
Strukturen	NN
des	ART
Faktischen	NN
erkennen	VVINF
,	$,
andererseits	ADV
stellt	VVFIN
es	PPER
Muster	NN
auf	APPR
für	APPR
das	PDS
,	$,
was	PWS
nachzuahmen	VVIZU
oder	KON
zu	PTKZU
vermeiden	VVINF
ist	VAFIN
.	$.

Ammians	NE
historische	ADJA
Weltsicht	NN
ist	VAFIN
ein	ART
stoischer	ADJA
Schicksalsglaube	NN
;	$.
seine	PPOSAT
Ethik	NN
ist	VAFIN
der	ART
traditionellen	ADJA
Humanität	NN
verpflichtet	VVPP
,	$,
wobei	PWAV
er	PPER
trotz	APPR
seiner	PPOSAT
kritischen	ADJA
Grundhaltung	NN
um	APPR
die	ART
Probleme	NN
der	ART
Männer	NN
an	APPR
der	ART
Spitze	NN
weiss	VVFIN
.	$.

Die	ART
Bemerkungen	NN
zur	APPRART
Lebensweisheit	NN
betreffen	VVFIN
häufig	ADJD
die	ART
Bedingungen	NN
erfolgreichen	ADJA
Handelns	NN
;	$.
die	ART
Kenntnis	NN
der	ART
Vergangenheit	NN
lehrt	VVFIN
ihn	PPER
Vertrauen	NN
auf	APPR
die	ART
Zukunft	NN

