Tomándose	VCLIger
como	CSUBX
referencia	NC
«	SYM
Trabajos	NC
y	CC
días	NC
»	SYM
,	CM
se	SE
pone	VLfin
de	PREP
relieve	NC
la	ART
adaptación	NC
a la que	CSUBF
Arato	NC
ha	VHfin
sometido	VLadj
el	ART
género	NC
didáctico	ADJ
hesiódico	ADJ
.	FS

El	ART
autor	NC
coloca	VLfin
su	PPO
obra	NC
bajo	PREP
la	ART
máscara	NC
del	PDEL
género	NC
hesiódico	ADJ
para	CSUBI
crear	VLinf
una	ART
poesía	NC
nueva	ADJ
en	PREP
el	ART
estilo	NC
de	PREP
Calímaco	NC
,	CM
llena	ADJ
de	PREP
sutileza	NC
e	CC
intertextualidad	NC
.	FS

Ello	PPX
no	NEG
implica	VLfin
que	CQUE
debamos	VLfin
considerar	VLinf
los	ART
«	SYM
Phaenomena	NC
»	SYM
como	CSUBX
un	ART
ejercicio	NC
de	PREP
imitación	NC
.	FS

Lo	ART
que	CQUE
interesa	VLfin
destacar	VLinf
es	VSfin
la	ART
singular	ADJ
adaptación	NC
del	PDEL
esquema	NC
genérico	ADJ
y	CC
de	PREP
su	PPO
trasfondo	NC
hesiódico	ADJ
como	CSUBX
un	ART
modo	NC
de	PREP
comprender	VLinf
y	CC
juzgar	VLinf
el	ART
valor	NC
literario	ADJ
de	PREP
la	ART
obra	NC
en	PREP
sí	PPX
misma	ADJ

