Artapan	NAM
n'	ADV
a	VER:pres
nullement	ADV
cherché	VER:pper
à	PRP
faire	VER:infi
du	PRP:det
grand	ADJ
législateur	NOM
le	DET:ART
fondateur	NOM
du	PRP:det
culte	NOM
égyptien	ADJ
ni	KON
à	PRP
l'	PRO:PER
associer	VER:infi
à	PRP
des	PRP:det
divinités	NOM
païennes	ADJ
.	SENT

Son	DET:POS
récit	NOM
vise	VER:pres
plutôt	ADV
à	PRP
le	PRO:PER
présenter	VER:infi
comme	ADV
un	DET:ART
«	PUN:cit
super-héros	NOM
»	PUN:cit
dont	PRO:REL
l'	DET:ART
importance	NOM
va	VER:pres
parfois	ADV
jusqu'	PRP
à	PRP
éclipser	VER:infi
celle	PRO:DEM
de	PRP
la	DET:ART
divinité	NOM
même	ADJ

