Augustin	NAM
emploie	VER:pres
le	DET:ART
verbe	NOM
«	PUN:cit
uti	VER:pper
»	PUN:cit
pour	PRP
désigner	VER:infi
le	DET:ART
profit	NOM
que	PRO:REL
l'	DET:ART
on	PRO:PER
tire	VER:pres
des	PRP:det
échanges	NOM
humains	ADJ
et	KON
réserve	VER:pres
«	PUN:cit
frui	NOM
»	PUN:cit
aux	PRP:det
relations	NOM
avec	PRP
Dieu	NOM
(	PUN
ainsi	ADV
doctr	ADJ
.	SENT
christ.1	NOM
)	PUN
,	PUN
mais	KON
cela	PRO:DEM
ne	ADV
signifie	VER:pres
nullement	ADV
qu'	KON
il	PRO:PER
considère	VER:pres
autrui	NOM
comme	KON
un	DET:ART
simple	ADJ
moyen	NOM
de	PRP
poursuivre	VER:infi
sa	DET:POS
quête	NOM
spirituelle	ADJ
.	SENT

Il	PRO:PER
s'	PRO:PER
en	PRO:PER
préoccupe	VER:pres
au	PRP:det
contraire	ADJ
constamment	ADV
avec	PRP
charité	NOM

