Mise	VER:pper
en	PRP
rapport	NOM
de	PRP
la	DET:ART
discussion	NOM
par	PRP
Augustin	NAM
,	PUN
dans	PRP
son	DET:POS
ep	NOM
.	SENT

155	NUM
à	PRP
Macedonius	NAM
,	PUN
de	PRP
la	DET:ART
vertu	NOM
et	KON
du	PRP:det
gouvernement	NOM
selon	PRP
les	DET:ART
préceptes	NOM
chrétiens	ADJ
avec	PRP
la	DET:ART
doctrine	NOM
des	PRP:det
vertus	NOM
politiques	ADJ
et	KON
purificatrices	ADJ
chez	PRP
les	DET:ART
néoplatoniciens	NOM
et	KON
leur	DET:POS
théorie	NOM
des	PRP:det
degrés	NOM
de	PRP
vertu	NOM
(	PUN
voir	VER:infi
aussi	ADV
75-00865	NUM
)	PUN

