Remplaçant	VER:ppre
la	DET:ART
notion	NOM
d'	PRP
amitié	NOM
comme	KON
valeur	NOM
fondamentale	ADJ
par	PRP
celle	PRO:DEM
d'	PRP
amour	NOM
,	PUN
Augustin	NAM
a	VER:pres
conçu	VER:pper
l'	DET:ART
amour	NOM
(	PUN
avec	PRP
une	DET:ART
multitude	NOM
de	PRP
nuances	NOM
)	PUN
comme	KON
une	DET:ART
force	NOM
universelle	ADJ
qui	PRO:REL
étend	VER:pres
son	DET:POS
empire	NOM
à	PRP
tout	PRO:IND
système	NOM
de	PRP
valeurs	NOM
dans	PRP
lequel	PRO:REL
s'	PRO:PER
inscrit	VER:pres
l'	DET:ART
expérience	NOM
de	PRP
l'	DET:ART
homme	NOM
,	PUN
«	PUN:cit
pondus	VER:pper
meum	NOM
,	PUN
amor	NOM
meus	VER:pres
,	PUN
eo	NOM
feror	NOM
quocumque	VER:pres
feror	NOM
»	PUN:cit
(	PUN
Conf.	ABR
13	NUM
,	PUN
9	NUM
,	PUN
10	NUM
)	PUN
.	SENT

C'	PRO:DEM
est	VER:pres
aussi	ADV
l'	DET:ART
empreinte	NOM
de	PRP
cette	PRO:DEM
image	NOM
qui	PRO:REL
marque	VER:pres
l'	DET:ART
essence	NOM
même	ADJ
de	PRP
la	DET:ART
vie	NOM
en	PRP
société	NOM

