Calcidius	NE
identifiziert	VVFIN
im	APPRART
Timaios-Kommentar	NN
den	ART
Stern	NN
der	ART
Weisen	NN
eindeutig	ADJD
als	KOKOM
Sirius	NN
,	$,
den	ART
hellsten	ADJA
Stern	NN
im	APPRART
Sternbild	NN
des	ART
Hundes	NN
,	$,
dessen	PRELAT
Erscheinen	NN
nach	APPR
römischem	ADJA
Kalender	NN
auf	APPR
den	ART
25.	ADJA

Juli	NN
zu	PTKZU
datieren	VVINF
ist	VAFIN
.	$.

Auf	APPR
der	ART
Folie	NN
dieses	PDAT
Wissens	NN
müssen	VMFIN
die	ART
messianischen	ADJA
Prophezeiungen	NN
und	KON
die	ART
verschiedenen	ADJA
neutestamentarischen	ADJA
Überlieferungen	NN
des	ART
Geburtsdatums	NN
Jesu	NN
neu	ADJD
gelesen	VVPP
werden	VAINF
.	$.

