Wenn	KOUS
Catull	NE
Caesar	NE
als	KOKOM
«	$(
cinaede	NE
Romule	NE
»	$(
anredet	VVFIN
,	$,
liefert	VVFIN
er	PPER
damit	PAV
bereits	ADV
für	APPR
54/53	CARD
v.	APPR
Chr.	NE
einen	ART
Beleg	NN
für	APPR
den	ART
Vergleich	NN
Caesars	NE
mit	APPR
Romulus	NE
.	$.

Dieser	PDS
dürfte	VMFIN
wohl	ADV
auf	APPR
den	ART
militärischen	ADJA
Erfolgen	NN
,	$,
möglicherweise	ADV
aber	ADV
auch	ADV
auf	APPR
Caesars	NE
Selbstverständnis	NN
als	KOKOM
Stadtgründer	NN
basieren	VVINF
und	KON
ist	VAFIN
wohl	ADV
im	APPRART
Zusammenhang	NN
mit	APPR
dem	ART
verstärkten	ADJA
Interesse	NN
an	APPR
der	ART
römischen	ADJA
Frühzeit	NN
zu	PTKZU
sehen	VVINF
,	$,
das	PRELS
im	APPRART
Umfeld	NN
der	ART
700-Jahrfeier	NN
Roms	NE
zur	APPRART
Entstehung	NN
mehrerer	PIAT
historischer	ADJA
Werke	NN
geführt	VVPP
hatte	VAFIN

