Trois	NUM
types	NOM
d'	PRP
éléments	NOM
visuels	ADJ
structurent	VER:pres
le	DET:ART
roman	NOM
de	PRP
Chariton	NAM
:	PUN
les	DET:ART
épiphanies	NOM
et	KON
les	DET:ART
apparitions	NOM
mystérieuses	ADJ
;	PUN
les	DET:ART
figurations	NOM
sculptées	VER:pper
;	PUN
les	DET:ART
représentations	NOM
oniriques	ADJ
.	SENT

Cette	PRO:DEM
force	NOM
reconnue	VER:pper
aux	PRP:det
images	NOM
permet	VER:pres
à	PRP
l'	DET:ART
auteur	NOM
de	PRP
jouer	VER:infi
avec	PRP
les	DET:ART
frontières	ADJ
imprécises	NOM
entre	PRP
apparence	NOM
et	KON
réalité	NOM
,	PUN
vérité	NOM
et	KON
illusion	NOM
,	PUN
passé	VER:pper
et	KON
présent	ADJ
,	PUN
vie	NOM
et	KON
mort	NOM

