Cicéron	NAM
écrit	VER:pres
sur	PRP
une	DET:ART
feuille	NOM
de	PRP
papyrus	NOM
qu'	PRO:REL
il	PRO:PER
désigne	VER:pres
par	PRP
le	DET:ART
mot	NOM
«	PUN:cit
charta	NOM
»	PUN:cit
:	PUN
ce	PRO:DEM
moyen	NOM
favorise	VER:pres
la	DET:ART
conservation	NOM
des	PRP:det
lettres	NOM
.	SENT

À	PRP
quelques	PRO:IND
reprises	NOM
,	PUN
il	PRO:PER
fait	VER:pres
allusion	NOM
à	PRP
des	PRP:det
lettres	NOM
écrites	VER:pper
sur	PRP
des	PRP:det
tablettes	NOM
qu'	PRO:REL
il	PRO:PER
appelle	VER:pres
«	PUN:cit
codicilli	NOM
»	PUN:cit
et	KON
qui	PRO:REL
apparaissent	VER:pres
comme	ADV
le	DET:ART
véhicule	NOM
de	PRP
la	DET:ART
communication	NOM
rapide	ADJ
,	PUN
puisque	KON
le	DET:ART
destinataire	NOM
peut	VER:pres
répondre	VER:infi
sur	PRP
le	DET:ART
même	ADJ
support	NOM
qui	PRO:REL
est	VER:pres
rapporté	VER:pper
immédiatement	ADV
à	PRP
l'	DET:ART
expéditeur	NOM

