Si	PRO:refl
propone	VER:pres
di	PRE
emendare	VER:infi
il	DET:def
passo	NOM
delle	PRE:det
«	PON
Institutiones	NOM
»	PON
inserendo	VER:geru
«	PON
cras	ADJ
»	PON
nel	PRE:det
testo	NOM
della	PRE:det
«	PON
stipulatio	NOM
»	PON
,	PON
in	PRE
base	NOM
al	PRE:det
confronto	NOM
con	PRE
il	DET:def
testo	NOM
corrispondente	ADJ
della	PRE:det
«	PON
Parafrasi	NOM
»	PON
di	PRE
Teofilo	NOM
,	PON
chiarendo	VER:geru
così	ADV
che	PRO:rela
era	VER:impf
ritenuta	VER:pper
«	PON
praepostera	ADJ
»	PON
solo	ADV
quella	PRO:demo
stipulazione	NOM
condizionale	ADJ
in	PRE
cui	PRO:rela
fosse	VER:cimp
invertita	VER:pper
la	DET:def
priorità	NOM
cronologica	ADJ
che	PRO:rela
deve	VER:pres
esistere	VER:infi
fra	PRE
il	DET:def
verificarsi	VER:infi
della	PRE:det
condizione	NOM
e	CON
l'	DET:def
adempimento	NOM
dell'	PRE:det
obbligazione	NOM
.	SENT

I	DET:def
testi	NOM
di	PRE
D.	NPR
45	NUM
,	PON
1	NUM
,	PON
64	NUM
e	CON
126	NUM
pr.	NOM
afferiscono	VER:pres
invece	ADV
a	PRE
una	DET:indef
problematica	NOM
diversa	ADJ

