Es	PPER
wäre	VAFIN
denkbar	ADJD
,	$,
dass	KOUS
Passagen	NN
im	APPRART
Werk	NN
des	ART
Ktesias	NN
,	$,
die	PRELS
in	APPR
eklatanter	ADJA
Weise	NN
Herodot	NN
und	KON
anderen	PIS
Quellen	NN
widersprechen	VVFIN
,	$,
als	KOKOM
bewusste	ADJA
Provokation	NN
bzw	VVFIN
.	$.

wohlüberlegte	ADJA
satirische	ADJA
Verformung	NN
zum	APPRART
Amüsement	NN
eines	ART
(	$(
herodot-)verständigen	ADJA
Publikums	NN
gestaltet	VVPP
sind	VAFIN
.	$.

Dies	PDS
lässt	VVFIN
sich	PRF
anhand	APPR
der	ART
Darstellung	NN
verschiedener	ADJA
Ereignisse	NN
weiter	ADV
wahrscheinlich	ADJD
machen	VVINF
.	$.

