Eine	ART
Analyse	NN
von	APPR
Ktesias	NE
'	$(
Werk	NN
unter	APPR
verschiedenen	ADJA
Gesichtspunkten	NN
(	$(
Programm	NN
und	KON
Methodologie	NN
;	$.
Sprache	NN
und	KON
Stil	NN
;	$.
geistiges	ADJA
Umfeld	NN
;	$.
Medizin	NN
)	$(
zeigt	VVFIN
,	$,
dass	KOUS
er	PPER
zum	APPRART
selben	PDAT
intellektuellen	ADJA
und	KON
wissenschaftlichen	ADJA
Umfeld	NN
gehörte	VVFIN
,	$,
wie	KOUS
es	PPER
R.	NE
Thomas	NE
(	$(
=>	NN
71-02276	CARD
)	$(
für	APPR
Herodots	NN
«	$(
Historien	NN
»	$(
aufgezeigt	VVPP
hat	VAFIN
.	$.

