I	DET:def
labili	ADJ
caratteri	NOM
distintivi	ADJ
,	PON
sul	PRE:det
piano	NOM
formale	ADJ
,	PON
della	PRE:det
composizione	NOM
poetica	ADJ
e	CON
in	PRE
prosa	NOM
,	PON
a	PRE
partire	VER:infi
dall'	PRE:det
interpretazione	NOM
di	PRE
Dionigi	NOM
di	PRE
Alicarnasso	NOM
e	CON
con	PRE
riferimento	NOM
al	PRE:det
lavoro	NOM
di	PRE
fissazione	NOM
della	PRE:det
colometria	NOM
dei	PRE:det
testi	NOM
poetici	ADJ
compiuto	VER:pper
dai	PRE:det
grammatici	NOM
alessandrini	ADJ
,	PON
in	PRE
particolare	ADJ
Aristofane	NOM
di	PRE
Bisanzio	NOM

