Studies	NNS
what	WP
is	VBZ
distinctive	JJ
in	IN
the	DT
poetry	NN
of	IN
Dracontius	NP
,	,
and	CC
to	TO
understand	VB
it	PP
as	IN
a	DT
hallmark	NN
of	IN
his	PP$
time	NN
.	SENT

The	DT
study	NN
of	IN
Dracontius	NP
'	POS
verse	NN
shows	VBZ
that	IN
it	PP
was	VBD
possible	JJ
even	RB
for	IN
a	DT
minor	JJ
poet	NN
,	,
at	IN
least	JJS
if	IN
he	PP
was	VBD
neither	RB
a	DT
native	JJ
Roman	NP
nor	CC
a	DT
pagan	NN
,	,
to	TO
innovate	VB
with	IN
some	DT
purpose	NN
in	IN
the	DT
medium	NN
of	IN
the	DT
epic	NN
hexameter	NN
.	SENT

