Nei	PRE:det
fr.	ABR
514s	NOM
.	SENT

Fl.	VER:impe
la	DET:def
persona	NOM
loquens	NOM
è	VER:pres
Catone	NOM
,	PON
che	PRO:rela
si	PRO:refl
esprime	VER:pres
in	PRE
modo	NOM
sentenzioso	ADJ
;	PON
per	CON
i	DET:def
fr.	ABR
317	NUM
e	CON
406	NUM
Fl.	NOM
,	PON
il	DET:def
codice	NOM
da	PRE
cui	PRO:rela
G.	LS
Colonna	NOM
ricava	VER:pres
la	DET:def
lezione	NOM
«	PON
oriundus	NOM
»	PON
è	VER:pres
probabilmente	ADV
il	DET:def
ms.	NOM
Napoli	NPR
,	PON
Bibl	NOM
.	SENT

Nazionale	ADJ
,	PON
IV	NUM
A	NOM
27	NUM
(	PON
15°	NOM
s.	NOM
)	PON

