Una	DET:indef
lettura	NOM
dell'	PRE:det
epitome	NOM
mostra	NOM
come	PRE
Floro	NOM
,	PON
in	PRE
linea	NOM
con	PRE
la	DET:def
tradizione	NOM
degli	PRE:det
storici	NOM
latini	ADJ
,	PON
insista	VER:cpre
sullo	PRE:det
stretto	ADJ
collegamento	NOM
tra	PRE
l'	DET:def
esito	NOM
delle	PRE:det
operazioni	NOM
militari	ADJ
e	CON
i	DET:def
fattori	NOM
ambientali	ADJ
,	PON
enfatizzando	VER:geru
il	DET:def
ruolo	NOM
chiave	NOM
della	PRE:det
natura	NOM
nella	PRE:det
guerra	NOM
,	PON
fin	PRE
quasi	ADV
a	PRE
umanizzare	VER:infi
gli	DET:def
elementi	NOM
naturali	ADJ

