Étudie	VER:pres
les	DET:ART
calques	NOM
et	KON
emprunts	NOM
à	PRP
la	DET:ART
terminologie	NOM
grecque	ADJ
,	PUN
la	DET:ART
spécialisation	NOM
de	PRP
termes	NOM
vagues	ADJ
,	PUN
les	DET:ART
créations	NOM
dues	VER:pper
à	PRP
des	PRP:det
contraintes	NOM
extérieures	ADJ
ou	KON
à	PRP
des	PRP:det
contraintes	NOM
internes	ADJ
,	PUN
et	KON
les	DET:ART
liens	NOM
de	PRP
la	DET:ART
terminologie	NOM
avec	PRP
l'	DET:ART
évolution	NOM
des	PRP:det
théories	NOM
sur	PRP
quelques	PRO:IND
points	NOM
cruciaux	ADJ
de	PRP
la	DET:ART
grammaire	NOM
humaniste	ADJ

