Herodotus	NP
9	CD
,	,
108-122	CD
is	VBZ
a	DT
multi-layered	JJ
ending	NN
,	,
offering	VBG
a	DT
meditation	NN
on	IN
the	DT
interplay	NN
between	IN
injustice	NN
and	CC
excess	NN
and	CC
the	DT
simultaneous	JJ
existence	NN
of	IN
human	JJ
evil	JJ
and	CC
divine	JJ
justice	NN
.	SENT

Assessing	VBG
the	DT
conclusion	NN
's	POS
literary	JJ
merit	NN
depends	VBZ
on	IN
placing	VBG
it	PP
within	IN
its	PP$
thematic	JJ
context	NN
,	,
that	WDT
of	IN
punishments	NNS
.	SENT

Punishments	NNS
in	IN
the	DT
«	)
Histories	NNS
»	(
play	VB
a	DT
role	NN
as	IN
literary	JJ
spectacle	NN
,	,
as	IN
material	NN
for	IN
ethnographic	JJ
and	CC
political	JJ
insight	NN
,	,
and	CC
as	IN
vehicle	NN
for	IN
an	DT
implicit	JJ
philosophy	NN
of	IN
history	NN
.	SENT

