Offers	VBZ
a	DT
description	NN
,	,
transcription	NN
and	CC
commentary	NN
on	IN
part	NN
of	IN
a	DT
literary	JJ
text	NN
,	,
identifiable	JJ
as	IN
Herodotus	NP
9.74-75	CD
,	,
preserved	VBN
in	IN
a	DT
papyrus	NN
fragment	NN
from	IN
Egypt	NP
,	,
now	RB
in	IN
the	DT
Oslo	NP
University	NP
Library	NP
.	SENT

The	DT
neatness	NN
of	IN
the	DT
handwriting	NN
and	CC
other	JJ
format	NN
details	NNS
suggest	VBP
that	IN
the	DT
fragment	NN
originally	RB
belonged	VBD
to	TO
a	DT
book-roll	NN
penned	VBN
by	IN
a	DT
professional	JJ
scribe	NN
.	SENT

