Un	DET:ART
passage	NOM
d'	PRP
Hilaire	NAM
de	PRP
Poitiers	NAM
(	PUN
C.	ABR
Const.	ABR
8	NUM
,	PUN
2-10	NUM
)	PUN
a	VER:pres
inspiré	VER:pper
plusieurs	PRO:IND
écrivains	NOM
ecclésiastiques	ADJ
,	PUN
tels	PRO:DEM
que	PRO:REL
Sozomène	NAM
(	PUN
HE	ABR
7	NUM
,	PUN
24	NUM
,	PUN
8	NUM
)	PUN
,	PUN
Paulin	NAM
de	PRP
Nole	NAM
(	PUN
Carm.	ABR
23	NUM
,	PUN
61-81	NUM
)	PUN
,	PUN
Augustin	NAM
(	PUN
Ciu	NAM
.	SENT
9	NUM
,	PUN
9	NUM
,	PUN
11-31	NUM
)	PUN
,	PUN
Jérôme	NAM
(	PUN
Vir	NAM
.	SENT
ill	NOM
.	SENT
1	NUM
)	PUN
ou	KON
Sulpice	NAM
Sévère	NAM
(	PUN
Dial.	ABR
3	NUM
,	PUN
6	NUM
,	PUN
5	NUM
)	PUN

