Examine	VER:pres
l'	DET:ART
édition	NOM
bilingue	ADJ
(	PUN
grec/latin	ADJ
)	PUN
des	PRP:det
œuvres	NOM
complètes	ADJ
d'	PRP
Hippocrate	NAM
par	PRP
A.	NAM
Foës	NAM
(	PUN
1595	NUM
)	PUN
et	KON
la	DET:ART
véritable	ADJ
origine	NOM
de	PRP
ses	DET:POS
variantes	NOM
grecques	ADJ
,	PUN
notamment	ADV
les	DET:ART
notes	NOM
du	PRP:det
médecin	NOM
J.	NAM
Opsopoeus	NAM
,	PUN
tirées	VER:pper
du	PRP:det
ms.	ABR
Leyde	NAM
,	PUN
Bibl	NAM
.	SENT
der	NOM
Rijksuniversiteit	NAM
,	PUN
Voss	NAM
.	SENT

gr.	ABR
F.	ABR
10	NUM
(	PUN
16e	NUM
s.	ABR
)	PUN

