Quelques	PRO:IND
comparaisons	NOM
internes	ADJ
à	PRP
l'	DET:ART
«	PUN:cit
Odyssée	NAM
»	PUN:cit
,	PUN
notamment	ADV
avec	PRP
le	DET:ART
chien	NOM
Argos	NAM
,	PUN
et	KON
des	PRP:det
parallèles	NOM
extérieurs	ADJ
,	PUN
étendus	VER:pper
aux	PRP:det
épopées	NOM
et	KON
mythologies	NOM
indo-européennes	ADJ
,	PUN
permettent	VER:pres
de	PRP
comprendre	VER:infi
le	DET:ART
rôle	NOM
énigmatique	ADJ
du	PRP:det
personnage	NOM
de	PRP
Laërte	NAM
,	PUN
représenté	VER:pper
comme	ADV
un	DET:ART
vieillard	NOM
lamentable	ADJ
.	SENT

Il	PRO:PER
faut	VER:pres
voir	VER:infi
en	PRP
lui	PRO:PER
une	DET:ART
image	NOM
de	PRP
la	DET:ART
souveraineté	NOM
en	PRP
crise	NOM
,	PUN
dans	PRP
l'	DET:ART
attente	NOM
du	PRP:det
retour	NOM
du	PRP:det
roi	NOM
légitime	ADJ

