Después de	CSUBI
realizarse	VCLIinf
una	ART
semblanza	NC
de	PREP
la	ART
vida	NC
y	CC
obra	NC
del	PDEL
humanista	NC
,	CM
se	SE
comentan	VLfin
las	ART
distintas	ADJ
ediciones	NC
que	CQUE
realizó	VLfin
de	PREP
la	ART
mencionada	ADJ
obra	NC
horaciana	ADJ
,	CM
la	ART
última	ADJ
de	PREP
la	ART
cuales	REL
es	VSfin
la	ART
que	CQUE
presenta	VLfin
más	ADV
cambios	NC
(	LP
sobre todo	ADV
cambios	NC
de	PREP
casos	NC
,	CM
de	PREP
tiempos	NC
verbales	ADJ
,	CM
de	PREP
orden	NC
en	PREP
las	ART
palabras	NC
…	NC
)	RP
,	CM
que	CQUE
conllevan	VLfin
,	CM
a	PREP
su	PPO
vez	NC
,	CM
cambios	NC
en	PREP
los	ART
comentarios	NC
,	CM
en	PREP
los	ART
que	CQUE
aumenta	VLfin
el	ART
número	NC
de	PREP
versos	NC
merecedores	ADJ
de	PREP
anotaciones	NC

