Josèphe	NAM
se	PRO:PER
veut	VER:pres
autant	ADV
l'	DET:ART
interprète	NOM
d'	PRP
un	DET:ART
texte	NOM
que	KON
celui	PRO:DEM
d'	PRP
une	DET:ART
tradition	NOM
reçue	ADJ
.	SENT

Il	PRO:PER
n'	ADV
entend	VER:pres
pas	ADV
faire	VER:infi
connaître	VER:infi
le	DET:ART
texte	NOM
brut	ADJ
,	PUN
tel	PRO:DEM
qu'	PRO:REL
il	PRO:PER
est	VER:pres
compris	VER:pper
par	PRP
ses	DET:POS
dépositaires	NOM
.	SENT

Il	PRO:PER
se	PRO:PER
veut	VER:pres
avant	PRP
tout	ADV
,	PUN
non	ADV
un	DET:ART
exégète	NOM
,	PUN
mais	KON
un	DET:ART
apologète	NOM
,	PUN
travaillant	VER:ppre
de	PRP
mémoire	NOM
et	KON
se	PRO:PER
réservant	VER:ppre
la	DET:ART
possibilité	NOM
d'	PRP
omettre	VER:infi
ce	PRO:DEM
qu'	PRO:REL
il	PRO:PER
lui	PRO:PER
semble	VER:pres
bon	ADJ
de	PRP
taire	VER:infi

