Para	CSUBI
comprender	VLinf
el	ART
sentido	NC
de	PREP
«	SYM
Las	ART
Etimologías	NC
»	SYM
de	PREP
Isidoro	NP
de	PREP
Sevilla	NP
,	CM
se	SE
estudia	VLfin
la	ART
etimología	NC
en	PREP
Grecia	NP
y	CC
en	PREP
Roma	NP
,	CM
particularmente	ADV
en	PREP
Varrón	NP
.	FS

Se	SE
analiza	VLfin
la	ART
teoría	NC
etimológica	ADJ
isidoriana	ADJ
.	FS

Finalmente	ADV
,	CM
se	SE
estudian	VLfin
los	ART
diversos	QU
modos	NC
como	CSUBX
ha	VHfin
sido	VSadj
considerada	VLadj
la	ART
etimología	NC
y	CC
su	PPO
evolución	NC
desde	PREP
sus	PPO
posibles	ADJ
antecedentes	NC
hebraicos	ADJ
hasta	PREP
las	ART
tendencias	NC
actuales	ADJ
.	FS

