Este	DM
poema	NC
épico	ADJ
,	CM
en	PREP
su	PPO
conjunto	NC
,	CM
está	VEfin
impregando	VLger
por	PREP
la	ART
presencia	NC
de	PREP
Dioniso	NC
,	CM
tanto	ADV
explícita	ADJ
o	CC
manifiesta	VLfin
como	CSUBX
implícita	ADJ
o	CC
sugerida	VLadj
.	FS

Los	ART
cantos	NC
1-12	CODE
,	CM
que	CQUE
contienen	VLfin
las	ART
noticias	VLfin
sobre	PREP
su	PPO
linaje	NC
,	CM
nacimiento	NC
y	CC
juventud	NC
,	CM
sirven	VLfin
de	PREP
anticipación	NC
argumental	ADJ
y	CC
estética	ADJ
de	PREP
los	ART
cantos	NC
restantes	ADJ
acerca de	PREP
su	PPO
conquista	VLfin
de	PREP
la	ART
India	NP
(	LP
13-40	CODE
)	RP
,	CM
y	CC
de	PREP
sus	PPO
empresas	NC
finales	ADJ
y	CC
apoteosis	NC
última	ADJ
(	LP
40-48	CODE
)	RP
.	FS

Los	ART
episodios	NC
de	PREP
Téctafo	NC
y	CC
Eeria	NC
(	LP
26	CARD
,	CM
101-145	CARD
)	RP
y	CC
de	PREP
Siton	NP
y	CC
Palene	NP
(	LP
48	CARD
,	CM
90-240	CARD
)	RP
ejemplifican	VLfin
cómo	ADV
todos	QU
los	ART
elementos	NC
compositivos	ADJ
del	PDEL
poema	NC
abundan	VLfin
en	PREP
la	ART
historia	NC
de	PREP
Dioniso	NC
,	CM
a la vez	ADV
que	CQUE
confieren	VLfin
unidad	NC
a	PREP
la	ART
extensa	ADJ
obra	NC

