C'	PRO:DEM
est	VER:pres
le	DET:ART
contexte	NOM
polémique	ADJ
dans	PRP
lequel	PRO:REL
il	PRO:PER
s'	PRO:PER
exprime	VER:pres
qui	PRO:REL
explique	VER:pres
l'	DET:ART
insistance	NOM
de	PRP
Novatien	NAM
sur	PRP
le	DET:ART
corps	NOM
,	PUN
dans	PRP
l'	DET:ART
humanité	NOM
du	PRP:det
Christ	NAM
,	PUN
au	PRP:det
détriment	NOM
de	PRP
l'	DET:ART
âme	NOM
(	PUN
trin	ADJ
.	SENT
13	NUM
,	PUN
3	NUM
;	PUN
21	NUM
,	PUN
7	NUM
;	PUN
24	NUM
,	PUN
11	NUM
)	PUN
.	SENT

L'	DET:ART
étude	NOM
de	PRP
son	DET:POS
matériel	NOM
verbal	ADJ
et	KON
de	PRP
son	DET:POS
anthropologie	NOM
montre	VER:pres
toutefois	ADV
qu'	KON
il	PRO:PER
n'	ADV
est	VER:pres
pas	ADV
parvenu	VER:pper
à	PRP
une	DET:ART
analyse	NOM
métaphysique	ADJ
adéquate	ADJ
,	PUN
mais	KON
qu'	PRO:REL
il	PRO:PER
vise	VER:pres
surtout	ADV
à	PRP
une	DET:ART
efficacité	NOM
immédiate	ADJ

