Parmenides	NP
'	POS
poem	NN
is	VBZ
filled	VBN
with	IN
syntactical	JJ
puzzles	NNS
and	CC
opaque	JJ
patterns	NNS
of	IN
thought	NN
,	,
but	CC
it	PP
reaps	VBZ
benefits	NNS
from	IN
the	DT
opacity	NN
that	IN
we	PP
all	RB
confront	VBP
in	IN
reading	VBG
it	PP
.	SENT

It	PP
is	VBZ
in	IN
fact	NN
an	DT
intentional	JJ
purpose	NN
of	IN
the	DT
poem	NN
to	TO
give	VB
us	PP
interpretive	JJ
difficulties	NNS
.	SENT

The	DT
poem	NN
's	POS
difficulties	NNS
are	VBP
central	JJ
to	TO
its	PP$
lesson	NN
that	IN
philosophical	JJ
inquiry	NN
is	VBZ
grounded	VBN
in	IN
linguistic	JJ
practice	NN
.	SENT

