Zur	APPRART
Deutung	NN
von	APPR
Ps	NN
45	CARD
(	$(
44	CARD
)	$(
,	$,
2	CARD
,	$,
von	APPR
Joh	NE
7	CARD
,	$,
37-39	CARD
,	$,
Ez	NE
36	CARD
,	$,
26-28	CARD
und	KON
von	APPR
Opfervorschriften	NN
nach	APPR
Leviticus	NE
durch	APPR
die	ART
Kirchenväter	NN
sowie	KON
zu	APPR
den	ART
einzelnen	ADJA
theologischen	ADJA
Bedeutungen	NN
des	ART
Herzens	NN
als	KOKOM
Bildbegriff	NN
(	$(
Fähigkeiten	NN
und	KON
Sinnesorgane	NN
des	ART
Herzens	NN
,	$,
das	ART
Herz	NN
als	KOKOM
Räumlichkeit	NN
,	$,
als	KOKOM
Acker	NN
,	$,
als	KOKOM
Bild	NN
für	APPR
geistliche	ADJA
Wachsamkeit	NN
,	$,
als	KOKOM
Bild	NN
für	APPR
das	ART
göttliche	ADJA
Leben	NN
etc.	ADV
)	$(
.	$.

