Perse	NAM
utilise	VER:pres
pour	PRP
le	DET:ART
4e	NUM
pied	NOM
une	DET:ART
grille	NOM
lexicale	ADJ
variée	VER:pper
,	PUN
qui	PRO:REL
lui	PRO:PER
permet	VER:pres
d'	PRP
employer	VER:infi
des	PRP:det
typologies	NOM
empruntées	VER:pper
à	PRP
toute	PRO:IND
la	DET:ART
langue	NOM
poétique	ADJ
et	KON
non	ADV
seulement	ADV
satirique	ADJ
,	PUN
réussissant	VER:ppre
à	PRP
créer	VER:infi
des	PRP:det
«	PUN:cit
iuncturae	NOM
»	PUN:cit
expressives	ADJ
très	ADV
particulières	ADJ
,	PUN
dont	PRO:REL
la	DET:ART
valeur	NOM
sémantique	ADJ
est	VER:pres
soulignée	VER:pper
par	PRP
le	DET:ART
jeu	NOM
des	PRP:det
accélérations	NOM
et	KON
des	PRP:det
pauses	NOM
du	PRP:det
rythme	NOM
,	PUN
et	KON
ce	PRO:DEM
,	PUN
à	PRP
un	DET:ART
endroit	NOM
du	PRP:det
vers	NOM
parmi	PRP
les	DET:ART
plus	ADV
sensibles	ADJ
,	PUN
puisqu'il	NOM
ouvre	VER:pres
le	DET:ART
2e	NUM
hémistiche	NOM
et	KON
prépare	VER:pres
la	DET:ART
chute	NOM

