Riscrittura	VER:impe
parodica	ADJ
di	PRE
un'	DET:indef
abortita	VER:pper
«	PON
Galatea	NOM
»	PON
filodionisiana	NOM
,	PON
rappresentato	VER:pper
ad	PRE
Atene	NPR
prima	CON
del	PRE:det
388	NUM
a.	NOM
C.	NPR
(	PON
dopo	PRE
la	DET:def
rottura	NOM
tra	PRE
l'	DET:def
intellettuale	ADJ
e	CON
il	DET:def
tiranno	NOM
)	PON
,	PON
il	DET:def
«	PON
Ciclope	NOM
»	PON
rileggeva	VER:impf
in	PRE
chiave	NOM
antibarbarica	ADJ
un	DET:indef
tema	NOM
diffuso	VER:pper
in	PRE
area	NOM
siceliota	ADJ
sin	PRE
dal	PRE:det
5°	NOM
s.	NOM
,	PON
ed	CON
ebbe	VER:remo
significative	ADJ
reazioni	NOM
nella	PRE:det
propaganda	NOM
siracusana	ADJ
(	PON
Alcimo	NOM
,	PON
Duride	NOM
,	PON
Timeo	NOM
)	PON
da	PRE
Dionisio	NOM
I	DET:def
ad	PRE
Agatocle	NOM

