According	VBG
to	TO
the	DT
accounts	NNS
of	IN
Socrates	NP
in	IN
Plato	NP
's	POS
«	)
Apology	NN
»	(
,	,
«	)
Hippias	NNS
major	JJ
»	(
,	,
«	)
Lysis	NN
»	(
,	,
«	)
Charmides	NNS
»	(
,	,
and	CC
«	)
Meno	NP
»	(
,	,
Socrates	NP
'	POS
mission	NN
was	VBD
to	TO
seek	VB
the	DT
highest	JJS
knowledge	NN
available	JJ
to	TO
humans	NNS
.	SENT

Knowledge	NN
of	IN
virtue	NN
itself	PP
is	VBZ
available	JJ
only	RB
to	TO
the	DT
gods	NNS
.	SENT

The	DT
highest	JJS
knowledge	NN
that	IN
humans	NNS
can	MD
attain	VB
is	VBZ
knowledge	NN
of	IN
moral	JJ
ignorance	NN
.	SENT

This	DT
knowledge	NN
can	MD
fade	VB
with	IN
time	NN
,	,
so	RB
constant	JJ
self-examination	NN
is	VBZ
necessary	JJ
.	SENT

