It	PP
has	VBZ
been	VBN
suggested	VBN
by	IN
(	(
among	IN
others	NNS
)	)
S.	NP
Levin	NP
(	(
=>	NP
56-03861	CD
)	)
that	IN
the	DT
famous	JJ
lacuna	NN
at	IN
De	NP
Pythiae	NP
oraculis	NP
409	CD
could	MD
be	VB
a	DT
«	)
conscious	JJ
erasure	NN
»	(
that	WDT
deleted	VBD
Domitian	NP
's	POS
name	NN
after	IN
his	PP$
damnatio	NN
memoriae	NNS
.	SENT

Militating	VBG
against	IN
this	DT
view	NN
are	VBP
:	:
1	LS
)	)
the	DT
likely	JJ
dates	NNS
of	IN
Plutarch	NP
's	POS
life	NN
and	CC
work	NN
;	:
and	CC
2	LS
)	)
the	DT
numerous	JJ
lacunae	NNS
in	IN
the	DT
extant	JJ
manuscripts	NNS
,	,
which	WDT
represent	VBP
words	NNS
and	CC
phrases	NNS
illegible	JJ
to	TO
the	DT
copyists	NNS
.	SENT

