Si	PRO:pers
ipotizza	VER:pres
che	PRO:rela
il	DET:def
passo	ADJ
polibiano	NOM
6	NUM
,	PON
14	NUM
,	PON
4-8	NUM
sia	CON
da	PRE
intendere	VER:infi
in	PRE
un	DET:indef
contesto	NOM
politico	ADJ
e	CON
che	PRO:rela
l'	DET:def
usanza	NOM
dell'	PRE:det
esilio	NOM
volontario	ADJ
per	PRE
sfuggire	VER:infi
a	PRE
una	DET:indef
condanna	NOM
capitale	ADJ
sia	VER:cpre
definita	VER:pper
da	PRE
Polibio	NOM
«	PON
degna	VER:pres
di	PRE
lode	NOM
»	PON
perché	CON
consentiva	VER:impf
di	PRE
evitare	VER:infi
la	DET:def
disonorevole	ADJ
messa	NOM
a	PRE
morte	NOM
di	PRE
un	DET:indef
esponente	NOM
della	PRE:det
classe	NOM
senatoria	ADJ

