Gli	DET:def
epigrammi	NOM
posidippei	VER:remo
contenuti	VER:pper
in	PRE
PMil	NOM
.	SENT
Vogl	NOM
.	SENT

8	NUM
,	PON
309	NUM
furono	VER:remo
noti	ADJ
,	PON
in	PRE
età	NOM
imperiale	ADJ
,	PON
ai	PRE:det
poeti	NOM
della	PRE:det
«	PON
Corona	NOM
»	PON
di	PRE
Filippo	NPR
,	PON
molto	ADV
probabilmente	ADV
a	PRE
Dionisio	NOM
Periegeta	NOM
,	PON
quasi	ADV
sicuramente	ADV
a	PRE
Nonno	NOM
,	PON
di	PRE
certo	ADV
ad	PRE
Agazia	NOM
,	PON
forse	ADV
anche	ADV
a	PRE
Giovanni	NPR
di	PRE
Gaza	NPR
.	SENT

Osservazioni	NOM
sulla	PRE:det
fortuna	NOM
di	PRE
singole	ADJ
sezioni	NOM
tematiche	ADJ
del	PRE:det
papiro	NOM
milanese	ADJ

