Writing	VBG
his	PP$
«	)
Vita	NP
Augustini	NP
»	(
in	IN
the	DT
immediate	JJ
aftermath	NN
of	IN
the	DT
Vandal	NP
invasions	NNS
of	IN
Roman	NP
Africa	NP
,	,
Possidius	NP
addresses	VBZ
his	PP$
fellow	JJ
African	JJ
clerics	NNS
and	CC
instructs	VBZ
them	PP
on	IN
how	WRB
to	TO
respond	VB
to	TO
Arian	JJ
Vandals	NNS
in	IN
a	DT
post-Augustinian	JJ
world	NN
.	SENT

He	PP
points	VBZ
his	PP$
readers	NNS
to	TO
Augustine	NP
's	POS
monastic	JJ
life	NN
and	CC
episcopal	JJ
style	NN
as	IN
workable	JJ
models	NNS
that	WDT
could	MD
lead	VB
to	TO
the	DT
conversion	NN
of	IN
the	DT
heretic	NN
invaders	NNS
.	SENT

