Im	APPRART
zuletzt	ADV
von	APPR
M.	NE
Kajava	NN
(	$(
=>	NN
67-01071	CARD
)	$(
edierten	VVFIN
Gebet	NN
an	APPR
Ianus	NN
aus	APPR
dem	ART
Gebiet	NN
von	APPR
Artena	NN
lassen	VVFIN
sich	PRF
an	APPR
einigen	PIAT
Stellen	NN
Verbesserungen	NN
des	ART
Textes	NN
vorschlagen	VVINF
.	$.

Die	ART
Anklänge	NN
an	APPR
bekannte	ADJA
Werke	NN
zeigen	VVFIN
die	ART
Belesenheit	NN
des	ART
Autors	NN
;	$.
der	ART
Aufbau	NN
entspricht	VVFIN
dem	ART
traditionellen	ADJA
Gebetsstil	NN
.	$.

Der	ART
Wunsch	NN
nach	APPR
einem	ART
dauerhaften	ADJA
Frieden	NN
würde	VAFIN
in	APPR
die	ART
Zeit	NN
des	ART
Commodus	NN
passen	VVINF
.	$.

Das	ART
Gedicht	NN
bietet	VVFIN
einen	PIS
der	ART
frühesten	ADJA
Belege	NN
für	APPR
das	ART
Simplex	NN
«	$(
serare	NN
»	$(
in	APPR
der	ART
Bedeutung	NN
«	$(
verriegeln	VVINF
»	$(
.	$.

