Apparently	RB
redundant	JJ
descriptions	NNS
of	IN
torture	NN
in	IN
hagiographical	JJ
texts	NNS
can	MD
be	VB
contextualized	VBN
within	IN
a	DT
broader	JJR
late-antique	NN
concern	NN
with	IN
violence	NN
and	CC
pain	NN
.	SENT

These	DT
descriptions	NNS
play	VBP
a	DT
central	JJ
role	NN
in	IN
constructing	VBG
the	DT
power	NN
of	IN
the	DT
martyr	NN
and	CC
that	IN
of	IN
his	PP$
or	CC
her	PP$
church	NN
.	SENT

Close	JJ
readings	NNS
of	IN
Prudentius	NP
,	,
perist	NN
.	SENT

1	CD
and	CC
5	CD
and	CC
the	DT
«	)
Acts	NNS
of	IN
Gallonius	NP
»	(
ed.	VBN
by	IN
P.	NP
Chiesa	NP
(	(
=>	NP
67-05586	CD
)	)
show	NN
how	WRB
the	DT
torture	NN
process	NN
(	(
the	DT
«	)
quaestio	NN
»	(
)	)
was	VBD
rewritten	VBN
to	TO
suit	VB
the	DT
needs	NNS
of	IN
a	DT
new	JJ
era	NN
:	:
that	WDT
of	IN
the	DT
Church	NP
Triumphant	NP
.	SENT

