Deux	NUM
ordres	NOM
de	PRP
réalités	NOM
coexistent	VER:pres
et	KON
s'	PRO:PER
interpénètrent	VER:pres
:	PUN
celui	PRO:DEM
des	PRP:det
«	PUN:cit
facta	NOM
»	PUN:cit
,	PUN
qui	PRO:REL
concorde	VER:pres
avec	PRP
les	DET:ART
catégories	NOM
de	PRP
l'	DET:ART
expérience	NOM
humaine	ADJ
et	KON
des	PRP:det
lois	NOM
naturelles	ADJ
;	PUN
celui	PRO:DEM
des	PRP:det
«	PUN:cit
miracula	NOM
»	PUN:cit
,	PUN
où	PRO:REL
Dieu	NOM
manifeste	VER:pres
à	PRP
la	DET:ART
fois	NOM
sa	DET:POS
puissance	NOM
et	KON
sa	DET:POS
dilection	NOM
envers	PRP
les	DET:ART
martyrs	NOM

