Rufin	NAM
a	VER:pres
fréquemment	ADV
recours	NOM
aux	PRP:det
métaphores	NOM
qui	PRO:REL
mettent	VER:pres
en	PRP
scène	NOM
le	DET:ART
corps	NOM
,	PUN
ses	DET:POS
maladies	NOM
,	PUN
ses	DET:POS
blessures	NOM
et	KON
ses	DET:POS
émotions	NOM
,	PUN
pour	PRP
suggérer	VER:infi
les	DET:ART
dysfonctionnements	NOM
du	PRP:det
corps	NOM
ecclésial	ADJ
.	SENT

Il	PRO:PER
souligne	VER:pres
la	DET:ART
valeur	NOM
symbolique	ADJ
de	PRP
la	DET:ART
guérison	NOM
,	PUN
c'	PRO:DEM
est-à-dire	ADV
du	PRP:det
salut	NOM
ou	KON
de	PRP
la	DET:ART
conversion	NOM

