Sénèque	NAM
ne	ADV
conçoit	VER:pres
pas	ADV
le	DET:ART
temps	NOM
comme	KON
une	DET:ART
ligne	NOM
qui	PRO:REL
court	VER:pres
de	PRP
la	DET:ART
naissance	NOM
à	PRP
la	DET:ART
mort	NOM
,	PUN
mais	KON
comme	KON
un	DET:ART
emboîtement	NOM
de	PRP
cercles	NOM
concentriques	ADJ
qui	PRO:REL
font	VER:pres
alterner	VER:infi
phases	NOM
de	PRP
destruction	NOM
et	KON
de	PRP
reconstruction	NOM
.	SENT

L'	DET:ART
histoire	NOM
résulte	VER:pres
pour	PRP
lui	PRO:PER
de	PRP
l'	DET:ART
insertion	NOM
d'	PRP
itinéraires	NOM
individuels	ADJ
dans	PRP
le	DET:ART
destin	NOM
collectif	ADJ

