Questi	PRO:demo
due	ADJ
testi	NOM
rivelano	VER:pres
che	PRO:rela
Simonide	NOM
associava	VER:impf
alla	PRE:det
poesia	NOM
omerica	ADJ
il	DET:def
concetto	NOM
dell'	PRE:det
«	PON
intrecciare	VER:infi
»	PON
,	PON
operante	ADJ
anche	ADV
a	PRE
livello	NOM
di	PRE
intreccio	NOM
tra	PRE
la	DET:def
sfera	NOM
divina	ADJ
e	CON
la	DET:def
sfera	NOM
eroica	ADJ
,	PON
analogamente	ADV
all'	PRE:det
intreccio	NOM
tra	PRE
l'	DET:def
epoca	NOM
dei	PRE:det
semidei	NOM
e	CON
l'	DET:def
epoca	NOM
storica	ADJ
che	PRO:rela
Simonide	NOM
stesso	ADJ
compie	VER:pres
nell'	PRE:det
elegia	NOM
per	PRE
la	DET:def
battaglia	NOM
di	PRE
Platea	NOM

