Le	DET:def
figure	NOM
femminili	ADJ
come	PRE
tipi	NOM
cristologici	ADJ
nella	PRE:det
tradizione	NOM
esegetica	ADJ
giudaica	ADJ
e	CON
cristiana	ADJ
e	CON
nell'	PRE:det
iconografia	NOM
,	PON
con	PRE
particolare	ADJ
attenzione	NOM
alla	PRE:det
tipologia	NOM
di	PRE
Susanna	NOM
nel	PRE:det
racconto	NOM
della	PRE:det
Passione	NOM
nei	PRE:det
sinottici	ADJ
e	CON
a	PRE
quella	PRO:demo
della	PRE:det
figlia	NOM
di	PRE
Jefte	NOM
in	PRE
testi	NOM
patristici	ADJ
greci	ADJ
e	CON
siriaci	ADJ
relativi	ADJ
a	PRE
battesimo	NOM
e	CON
trasfigurazione	NOM

