Fait	VER:pres
le	DET:ART
point	NOM
sur	PRP
la	DET:ART
«	PUN:cit
Lettre	NAM
de	PRP
Clément	NAM
d'	PRP
Alexandrie	NAM
»	PUN:cit
publiée	VER:pper
en	PRP
premier	NUM
lieu	NOM
par	PRP
M.	NOM
Smith	NAM
(	PUN
=>	NOM
APh	NAM
45	NUM
,	PUN
p.	ABR
91	NUM
)	PUN
.	SENT

Implications	NOM
de	PRP
ce	PRO:DEM
texte	NOM
,	PUN
ainsi	KON
que	KON
des	PRP:det
témoignages	NOM
de	PRP
Papias	NOM
et	KON
de	PRP
l'	DET:ART
évangile	NOM
de	PRP
Thomas	NAM
,	PUN
pour	PRP
l'	DET:ART
histoire	NOM
du	PRP:det
texte	NOM
de	PRP
Marc	NAM

