Il	PRO:PER
faut	VER:pres
dépasser	VER:infi
les	DET:ART
termes	NOM
classiques	ADJ
du	PRP:det
débat	NOM
relatif	ADJ
à	PRP
l'	DET:ART
eschatologie	NOM
paulinienne	ADJ
,	PUN
l'	DET:ART
opposition	NOM
entre	PRP
apocalyptique	ADJ
juive	NOM
et	KON
eschatologie	NOM
hellénistique	ADJ
,	PUN
et	KON
considérer	VER:infi
que	KON
Paul	NAM
envisage	VER:pres
la	DET:ART
réalité	NOM
présente	ADJ
de	PRP
la	DET:ART
foi	NOM
«	PUN:cit
hic	NOM
et	KON
nunc	NOM
»	PUN:cit
,	PUN
tout	ADV
en	PRP
l'	DET:ART
ancrant	VER:ppre
dans	PRP
un	DET:ART
temps	NOM
messianique	ADJ
marqué	VER:pper
par	PRP
le	DET:ART
Christ	NOM

