Jésus	NAM
entend	VER:pres
«	PUN:cit
humain	ADJ
»	PUN:cit
par	PRP
«	PUN:cit
fils	NOM
de	PRP
l'	DET:ART
homme	NOM
»	PUN:cit
,	PUN
mais	KON
ses	DET:POS
disciples	NOM
reçoivent	VER:pres
l'	DET:ART
expression	NOM
dans	PRP
un	DET:ART
sens	NOM
apocalyptique	ADJ
.	SENT

La	DET:ART
première	NUM
interprétation	NOM
peut	VER:pres
être	VER:infi
lue	VER:pper
comme	ADV
celle	PRO:DEM
des	PRP:det
paysans	NOM
ou	KON
«	PUN:cit
interprétation	NOM
basse	ADJ
»	PUN:cit
;	PUN
la	DET:ART
seconde	NUM
est	VER:pres
une	DET:ART
«	PUN:cit
interprétation	NOM
haute	ADJ
»	PUN:cit
qui	PRO:REL
vient	VER:pres
des	PRP:det
scribes	NOM

