Plusieurs	PRO:IND
ascètes	NOM
quittent	VER:pres
leur	DET:POS
retraite	NOM
pour	PRP
se	PRO:PER
rendre	VER:infi
à	PRP
Antioche	NAM
,	PUN
notamment	ADV
afin	KON
d'	PRP
y	PRO:PER
combattre	VER:infi
l'	DET:ART
hérésie	NOM
.	SENT

Tout	ADV
en	PRO:PER
continuant	VER:ppre
à	PRP
mener	VER:infi
leur	DET:POS
genre	NOM
de	PRP
vie	NOM
habituel	ADJ
,	PUN
ils	PRO:PER
interviennent	VER:pres
à	PRP
leur	DET:POS
façon	NOM
,	PUN
donnant	VER:ppre
la	DET:ART
preuve	NOM
d'	PRP
un	DET:ART
pouvoir	NOM
miraculeux	ADJ
qui	PRO:REL
émerveille	VER:pres
la	DET:ART
population	NOM
et	KON
la	DET:ART
haute	ADJ
société	NOM

