Muovendo	VER:geru
dall'	PRE:det
analisi	NOM
della	PRE:det
«	PON
Archeologia	NOM
»	PON
tucididea	NOM
,	PON
si	PRO:pers
definisce	VER:pres
,	PON
all'	PRE:det
interno	NOM
della	PRE:det
sua	PRO:poss
opera	NOM
,	PON
il	DET:def
concetto	NOM
di	PRE
«	PON
realtà	NOM
storica	ADJ
»	PON
,	PON
ossia	CON
il	DET:def
risultato	NOM
di	PRE
un	DET:indef
processo	NOM
di	PRE
ricostruzione	NOM
induttiva	ADJ
;	PON
si	PRO:pers
evidenzia	VER:pres
,	PON
poi	ADV
,	PON
come	CON
l'	DET:def
elemento	NOM
fondamentale	ADJ
della	PRE:det
realtà	NOM
storica	ADJ
consista	VER:cpre
non	ADV
in	PRE
un	DET:indef
ordinamento	NOM
cronologico	ADJ
degli	PRE:det
eventi	NOM
,	PON
bensì	CON
in	PRE
una	DET:indef
fitta	ADJ
trama	NOM
di	PRE
relazioni	NOM
causali	ADJ
tra	PRE
i	DET:def
fatti	NOM
;	PON
infine	ADV
,	PON
si	PRO:pers
mostra	VER:pres
come	PRE
tali	PRO:demo
relazioni	NOM
causali	ADJ
costituiscano	VER:cpre
l'	DET:def
esito	NOM
di	PRE
una	DET:indef
«	PON
volontà	NOM
politica	ADJ
»	PON
incentrata	VER:pper
sul	PRE:det
presente	ADJ
di	PRE
colui	PRO:pers
che	PRO:rela
svolge	VER:pres
l'	DET:def
indagine	NOM
storica	ADJ
e	CON
configura	VER:pres
,	PON
attraverso	ADV
essa	PRO:pers
,	PON
la	DET:def
propria	ADJ
identità	NOM

