Pausania	VER:impe
concepì	VER:remo
un	DET:indef
progetto	NOM
politico	ADJ
finalizzato	VER:pper
all'	PRE:det
egemonia	NOM
marittima	ADJ
spartana	ADJ
e	CON
alla	PRE:det
divisione	NOM
delle	PRE:det
sfere	NOM
d'	PRE
influenza	NOM
con	PRE
la	DET:def
Persia	NOM
:	PON
Tucidide	NOM
presenta	VER:pres
il	DET:def
conflitto	NOM
spartano-ateniese	ADJ
come	CON
ineluttabile	ADJ
,	PON
ma	CON
l'	DET:def
impero	NOM
ateniese	ADJ
fu	VER:remo
il	DET:def
risultato	NOM
di	PRE
decisioni	NOM
politiche	ADJ
precise	ADJ
e	CON
non	ADV
l'	DET:def
effetto	NOM
inevitabile	ADJ
delle	PRE:det
circostanze	NOM

