Vitruve	NAM
utilise	VER:pres
toutes	PRO:IND
les	DET:ART
possibilités	NOM
lexicales	ADJ
de	PRP
«	PUN:cit
ratio	NOM
»	PUN:cit
,	PUN
au	PRP:det
sens	NOM
de	PRP
«	PUN:cit
principe	NOM
d'	PRP
explication	NOM
d'	PRP
un	DET:ART
phénomène	NOM
à	PRP
partir	VER:infi
de	PRP
son	DET:POS
observation	NOM
»	PUN:cit
,	PUN
et	KON
de	PRP
son	DET:POS
prolongement	NOM
théorique	ADJ
,	PUN
la	DET:ART
«	PUN:cit
ratiocinatio	NOM
»	PUN:cit
.	SENT

Il	PRO:PER
entend	VER:pres
montrer	VER:infi
qu'	KON
il	PRO:PER
existe	VER:pres
un	DET:ART
raisonnement	NOM
architectural	ADJ
valide	ADJ
sur	PRP
le	DET:ART
monde	NOM
,	PUN
que	KON
l'	DET:ART
architecture	NOM
est	VER:pres
une	DET:ART
science	NOM
et	KON
qu'	PRO:REL
elle	PRO:PER
peut	VER:pres
revendiquer	VER:infi
son	DET:POS
autonomie	NOM
intellectuelle	ADJ

