Stato	VER:pper
della	PRE:det
ricerca	NOM
,	PON
indicazioni	NOM
metodologiche	ADJ
e	CON
discussione	NOM
sulla	PRE:det
poesia	NOM
latina	ADJ
dal	PRE:det
1°	ADJ
sec.	NOM
a.	NOM
C.	NPR
al	PRE:det
1°	ADJ
d.	NOM
C.	NPR
,	PON
in	PRE
cui	PRO:rela
si	PRO:refl
vede	VER:pres
come	PRE
la	DET:def
terminologia	NOM
del	PRE:det
bosco	NOM
tenda	VER:cpre
a	PRE
perdere	VER:infi
la	DET:def
sua	PRO:poss
originaria	ADJ
differenziazione	NOM
per	PRE
trasformarsi	VER:infi
in	PRE
un	DET:indef
repertorio	NOM
di	PRE
sinonimi	NOM

