Como	CSUBX
motivo	NC
literario	ADJ
y	CC
artístico	ADJ
,	CM
la	ART
compleja	ADJ
relación	NC
entre	PREP
padres	NC
e	CC
hijos	NC
ha	VHfin
encontrado	VLadj
frecuentemente	ADV
su	PPO
reflejo	VLfin
tanto	ADV
en	PREP
la	ART
mitología	NC
como	ADV
en	PREP
la	ART
literatura	NC
.	FS

A	PREP
través	NC
del	PDEL
tema	NC
de	PREP
la	ART
paternidad	NC
se	SE
representa	VLfin
el	ART
drama	NC
de	PREP
cómo	ADV
una	ART
sociedad	NC
se	SE
reproduce	VLfin
a	PREP
sí	PPX
misma	ADJ
.	FS

Por	PREP
otro	QU
lado	NC
,	CM
la	ART
figura	NC
del	PDEL
«	SYM
pater	NC
familias	NC
»	SYM
era	VEfin
fundamental	ADJ
en	PREP
Roma	NP
.	FS

El	ART
padre	NC
era	VEfin
el	ART
núcleo	NC
de	PREP
la	ART
«	SYM
domus	NC
»	SYM
,	CM
que	CQUE
era	VEfin
a	PREP
su	PPO
vez	NC
el	ART
embrión	NC
de	PREP
la	ART
sociedad	NC
romana	VLfin
.	FS

