There	EX
is	VBZ
sufficient	JJ
evidence	NN
to	TO
establish	VB
the	DT
existence	NN
of	IN
inserted	JJ
apposition	NN
in	IN
classical	JJ
Greek	JJ
poetry	NN
.	SENT

This	DT
is	VBZ
true	JJ
both	CC
of	IN
appositions	NNS
consisting	VBG
of	IN
adjective-noun	NN
combinations	NN
(	(
e.	FW
g.	FW
,	,
Aeschylus	NP
,	,
A.	NP
119	CD
;	:
Euripides	NP
,	,
Hipp.	NP
1037	CD
;	:
Pindar	NP
,	,
N.	NP
6	CD
,	,
3-4	CD
)	)
and	CC
of	IN
those	DT
consisting	VBG
of	IN
a	DT
noun	NN
with	IN
a	DT
genitive	JJ
dependent	NN
upon	IN
it	PP
(	(
e.	FW
g.	FW
,	,
Aeschylus	NP
,	,
Eu.	NP
302	CD
;	:
Pindar	NP
,	,
N.	NP
4	CD
,	,
2-3	CD
)	)
.	SENT

At	IN
the	DT
same	JJ
time	NN
such	JJ
appositional	JJ
word	NN
orders	NNS
always	RB
remained	VBD
rare	JJ
in	IN
Greek	JJ
literature	NN
,	,
in	IN
contrast	NN
to	TO
the	DT
situation	NN
in	IN
Latin	NP
,	,
where	WRB
they	PP
established	VBD
themselves	PP
as	IN
a	DT
minor	JJ
literary	JJ
mannerism	NN
.	SENT

