Surveys	VBZ
the	DT
history	NN
and	CC
development	NN
of	IN
Greek	JJ
nominal	JJ
paradigms	NNS
,	,
from	IN
Mycenaean	JJ
Greek	JJ
up	RB
to	TO
the	DT
present	NN
.	SENT

Two	CD
major	JJ
changes	NNS
over	IN
this	DT
time	NN
span	NN
contributed	VBD
to	TO
reshape	VB
nominal	JJ
paradigms	NNS
:	:
case	NN
syncretism	NN
,	,
which	WDT
had	VBD
the	DT
effect	NN
of	IN
reducing	VBG
the	DT
number	NN
of	IN
cases	NNS
,	,
and	CC
the	DT
elimination	NN
of	IN
so-called	JJ
athematic	JJ
declension	NN
,	,
which	WDT
resulted	VBD
in	IN
the	DT
reduction	NN
of	IN
the	DT
number	NN
of	IN
inflectional	JJ
classes	NNS
and	CC
the	DT
redistribution	NN
of	IN
nouns	NNS
between	IN
the	DT
remaining	VBG
classes	NNS
.	SENT

Both	DT
developments	NNS
can	MD
be	VB
better	RBR
understood	VBN
in	IN
terms	NNS
of	IN
the	DT
spread	NN
of	IN
stable	JJ
and	CC
superstable	JJ
markers	NNS
,	,
together	RB
with	IN
with	IN
ongoing	JJ
elimination	NN
of	IN
markers	NNS
with	IN
low	JJ
token	JJ
frequency	NN

