Pourquoi	ADV
ce	PRO:DEM
substantif	NOM
a	VER:pres
-t-il	PRO:PER
servi	VER:pper
,	PUN
de	PRP
Platon	NAM
au	PRP:det
7e	NUM
s.	ABR
de	PRP
notre	DET:POS
ère	NOM
,	PUN
à	PRP
désigner	VER:infi
à	PRP
la	DET:ART
fois	NOM
la	DET:ART
conclusion	NOM
provisoire	ADJ
ou	KON
définitive	ADJ
,	PUN
dans	PRP
l'	DET:ART
ordre	NOM
du	PRP:det
discours	NOM
,	PUN
et	KON
le	DET:ART
«	PUN:cit
comble	NOM
»	PUN:cit
,	PUN
dans	PRP
celui	PRO:DEM
des	PRP:det
qualités	NOM
et	KON
des	PRP:det
défauts	NOM
?	SENT

L'	DET:ART
enquête	NOM
confronte	VER:pres
les	DET:ART
indices	NOM
fournis	VER:pper
par	PRP
les	DET:ART
philologues	NOM
de	PRP
l'	DET:ART
Antiquité	NOM
,	PUN
les	DET:ART
textes	NOM
littéraires	ADJ
et	KON
les	DET:ART
explications	NOM
modernes	ADJ
.	SENT

Elle	PRO:PER
prend	VER:pres
en	PRP
compte	NOM
les	DET:ART
vocables	NOM
associés	VER:pper
et	KON
comparables	ADJ
.	SENT

L'	DET:ART
origine	NOM
technique	ADJ
vraisemblable	ADJ
de	PRP
«	PUN:cit
kolo-	NOM
»	PUN:cit
,	PUN
qui	PRO:REL
combine	VER:pres
les	DET:ART
deux	NUM
significations	NOM
de	PRP
«	PUN:cit
grand	ADJ
»	PUN:cit
et	KON
de	PRP
«	PUN:cit
tronqué	VER:pper
»	PUN:cit
,	PUN
permet	VER:pres
de	PRP
comprendre	VER:infi
la	DET:ART
fortune	NOM
rhétorique	ADJ
de	PRP
ce	PRO:DEM
mot	NOM

