Un'	DET:indef
analisi	NOM
del	PRE:det
greco	NOM
classico	ADJ
mostra	NOM
che	PRO:rela
la	DET:def
preverbazione	NOM
,	PON
come	CON
nel	PRE:det
latino	NOM
(	PON
=>	NOM
74-08854	NUM
)	PON
,	PON
accresce	VER:pres
il	DET:def
grado	NOM
di	PRE
telicità	NOM
del	PRE:det
verbo	NOM
,	PON
con	PRE
aumento	NOM
di	PRE
coinvolgimento	NOM
per	PRE
i	DET:def
verbi	NOM
biargomentali	ADJ
e	CON
monoargomentali	ADJ
con	PRE
il	DET:def
soggetto	NOM
come	PRE
argomento	NOM
interno	ADJ
diretto	ADJ
e	CON
con	PRE
effetto	NOM
transitivizzante	VER:ppre
per	PRE
i	DET:def
verbi	NOM
semplici	ADJ
monoargomentali	ADJ
aventi	VER:ppre
il	DET:def
soggetto	NOM
come	PRE
argomento	NOM
esterno	ADJ
.	SENT

Verbi	NOM
applicativi	ADJ
e	CON
risultativi	ADJ
paiono	VER:pres
configurare	VER:infi
gradi	NOM
diversi	ADJ
di	PRE
attuazione	NOM
dell'	PRE:det
effetto	NOM
dell'	PRE:det
evento	NOM
nell'	PRE:det
oggetto	NOM

