A pesar de	CSUBI
que	CQUE
no	NEG
se	SE
conoce	VLfin
una	ART
exposición	NC
sistemática	ADJ
al respecto	ADV
,	CM
tampoco	ADV
se	SE
puede	VMfin
decir	VLinf
que	CQUE
en	PREP
la	ART
Antigüedad	NC
no	NEG
existieran	VLfin
estudios	NC
de	PREP
fonética	NC
.	FS

Por	PREP
lo	ART
que	CQUE
se	SE
refiere	VLfin
a	PREP
los	ART
tratados	VLadj
de	PREP
métrica	ADJ
anteriores	ADJ
a	PREP
nuestra	PPO
era	VEfin
,	CM
que	CQUE
no	NEG
han	VHfin
llegado	VLadj
a	PREP
nosotros	PPX
,	CM
se	SE
puede	VMfin
dar	VLinf
por	PREP
seguro	ADJ
que	CQUE
comenzaban	VLfin
por	PREP
el	ART
estudio	NC
de	PREP
la	ART
voz	NC
,	CM
sus	PPO
elementos	NC
,	CM
las	ART
sílabas	NC
,	CM
etc.	NC
Los	ART
tratados	VLadj
métricos	ADJ
conservados	VLadj
dedican	VLfin
algunos	QU
capítulos	NC
a	PREP
cuestiones	NC
fonéticas	VLfin

