Viene	VER:pres
ipotizzata	VER:pper
l'	DET:def
esistenza	NOM
di	PRE
una	DET:indef
forma	NOM
arcaica	ADJ
«	PON
quiquam	NOM
»	PON
,	PON
rintracciabile	ADJ
ad	PRE
esempio	NOM
nella	PRE:det
prima	ADJ
mano	NOM
del	PRE:det
ms.	NOM
Leyde	NOM
,	PON
Bibl	NOM
.	SENT
der	VER:impe
Rijksuniversiteit	NOM
,	PON
Voss	NOM
.	SENT
lat.	VER:impe
F.	LS
13	NUM
di	PRE
Nonio	NOM
,	PON
con	PRE
valore	NOM
avverbiale	ADJ
,	PON
come	CON
dimostrerebbe	VER:cond
il	DET:def
frequente	ADJ
uso	NOM
nel	PRE:det
latino	NOM
arcaico	ADJ
del	PRE:det
nesso	NOM
«	PON
nil	NOM
quiquam	NOM
»	PON
,	PON
attestato	VER:pper
in	PRE
questa	PRO:demo
forma	NOM
nella	PRE:det
tradizione	NOM
manoscritta	ADJ
di	PRE
Plauto	NOM

