Attraverso	ADV
un	DET:indef
riesame	NOM
dei	PRE:det
dati	NOM
archeologici	ADJ
si	PRO:refl
localizzano	VER:pres
un'	DET:indef
area	NOM
sacra	ADJ
e	CON
una	DET:indef
domus	NOM
di	PRE
età	NOM
romana	ADJ
,	PON
nonché	CON
una	DET:indef
necropoli	NOM
utilizzata	VER:pper
a	PRE
partire	VER:infi
dalla	PRE:det
prima	ADJ
metà	NOM
del	PRE:det
6°	NOM
sec.	NOM
a.	NOM
C.	NPR
,	PON
i	DET:def
cui	PRO:rela
corredi	NOM
attestano	VER:pres
la	DET:def
presenza	NOM
di	PRE
ceramica	NOM
attica	ADJ
a	PRE
figure	NOM
rosse	ADJ
,	PON
di	PRE
ceramica	NOM
italiota	ADJ
e	CON
comune	ADJ
oltre	CON
che	PRO:rela
di	PRE
sporadici	ADJ
oggetti	NOM
metallici	ADJ

