Cette	PRO:DEM
découverte	NOM
fortuite	ADJ
d'	PRP
amphores	NOM
date	NOM
de	PRP
1975	NUM
(	PUN
=>	ABR
51-08012	NUM
)	PUN
et	KON
des	PRP:det
documents	NOM
issus	ADJ
des	PRP:det
archives	NOM
de	PRP
fouille	NOM
sont	VER:pres
ici	ADV
présentés	VER:pper
.	SENT

Les	DET:ART
amphores	NOM
étaient	VER:impf
réutilisées	VER:pper
en	PRP
drains	NOM
d'	PRP
assainissement	NOM
et	KON
de	PRP
bonification	NOM
des	PRP:det
terres	NOM
,	PUN
technique	ADJ
surtout	ADV
attestée	VER:pper
en	PRP
Italie	NAM
du	PRP:det
nord	NOM
.	SENT

Les	DET:ART
terrains	NOM
humides	ADJ
de	PRP
La	DET:ART
Longarina	NAM
,	PUN
à	PRP
l'	DET:ART
est	NOM
d'	PRP
Ostie	NAM
,	PUN
étaient	VER:impf
exploités	VER:pper
en	PRP
salines	NOM
.	SENT

Publication	NOM
d'	PRP
autres	ADJ
trouvailles	NOM
associées	VER:pper
et	KON
typologie	NOM
des	PRP:det
amphores	NOM
(	PUN
amphores	NOM
à	PRP
vin	NOM
,	PUN
garum	NOM
et	KON
huile	NOM
,	PUN
2e	NUM
moitié	NOM
du	PRP:det
1er	NUM
s.	ABR
av	NOM
.	SENT
-fin	ADJ
du	PRP:det
3e	NUM
s.	ABR
apr.	ABR
J.	ABR
-C	ADJ
.	SENT
)	PUN

