Viele	PIS
der	ART
Grabbeigaben	NN
stehen	VVFIN
entweder	KON
in	APPR
provinzialrömischer	ADJA
Tradition	NN
oder	KON
sind	VAFIN
norisch-pannonischer	ADJA
Herkunft	NN
.	$.

Sie	PPER
deuten	VVFIN
auf	APPR
eine	ART
enge	ADJA
Verbindung	NN
mit	APPR
dem	ART
böhmischen	ADJA
Raum	NN
hin	PTKVZ
,	$,
die	ART
Silberbecher	NN
dagegen	PAV
weisen	VVFIN
in	APPR
das	ART
nordpontische	ADJA
Gebiet	NN
.	$.

Die	ART
Kombination	NN
der	ART
Grabbeigaben	NN
(	$(
Bronze-	TRUNC
und	KON
Silbergefässe	NN
,	$,
Trinkhorn	NN
)	$(
,	$,
die	ART
Anwesenheit	NN
römischer	ADJA
Importgegenstände	NN
(	$(
Fibeln	NN
)	$(
,	$,
Grabritus	NN
und	KON
Grabbau	NN
(	$(
sekundäre	ADJA
Körperbestattung	NN
in	APPR
einem	ART
vorgeschichtlichen	ADJA
Grabhügel	NN
)	$(
,	$,
die	ART
Lage	NN
der	ART
Bestattung	NN
abseits	APPR
eines	ART
grösseren	ADJA
zeitgleichen	ADJA
Gräberfeldes	NN
sowie	KON
die	ART
Waffenlosigkeit	NN
stellen	VVFIN
das	ART
Grab	NN
von	APPR
Kolokolin	NN
in	APPR
eine	ART
Reihe	NN
mit	APPR
den	ART
frühkaiserzeitlichen	ADJA
Prunkbestattungen	NN
in	APPR
Mitteleuropa	NE
.	$.

