«	)
Minoisation	NP
»	(
is	VBZ
a	DT
modern	JJ
term	NN
for	IN
a	DT
heterogeneous	JJ
range	NN
of	IN
traits	NNS
and	CC
practices	NNS
of	IN
ancient	JJ
material	NN
culture	NN
that	WDT
indicate	VBP
the	DT
adoption	NN
in	IN
places	NNS
beyond	IN
Crete	NP
of	IN
ways	NNS
of	IN
doing	VBG
things	NNS
that	WDT
originated	VBP
within	IN
Crete	NP
.	SENT

Examples	NNS
include	VBP
artifact	NN
styles	NNS
and	CC
consumption	NN
,	,
cooking	VBG
habits	NNS
,	,
writing	VBG
,	,
weight	NN
systems	NNS
,	,
weaving	VBG
,	,
wall	NN
paintings	NNS
,	,
design	NN
and	CC
use	NN
of	IN
built	VBN
space	NN
,	,
burial	NN
practices	NNS
and	CC
ritual	NN
action	NN
.	SENT

At	IN
a	DT
general	JJ
level	NN
,	,
Minoisation	NP
is	VBZ
related	VBN
by	IN
common	JJ
consent	NN
to	TO
the	DT
expansion	NN
on	IN
Crete	NP
of	IN
complex	JJ
palatial	JJ
polities	NNS
during	IN
the	DT
early	JJ
to	TO
mid-2nd	NP
millennium	NN
B.	NP
C.	NP
The	DT
interpretation	NN
of	IN
every	DT
other	JJ
aspect	NN
of	IN
the	DT
phenomenon	NN
remains	VBZ
controversial	JJ
,	,
especially	RB
in	IN
regard	NN
to	TO
the	DT
implications	NNS
for	IN
understanding	VBG
the	DT
nature	NN
of	IN
social	JJ
,	,
economic	JJ
and	CC
political	JJ
relations	NNS
between	IN
Crete	NP
and	CC
its	PP$
neighbors	NNS
.	SENT

