Prenant	VER:ppre
pour	PRP
point	NOM
de	PRP
départ	NOM
l'	DET:ART
épée	NOM
de	PRP
type	NOM
égéen	ADJ
dédicacée	VER:pper
par	PRP
le	DET:ART
roi	NOM
hittite	ADJ
Tudhaliya	VER:simp
IV	NUM
,	PUN
trouvée	VER:pper
en	PRP
1991	NUM
à	PRP
Hattusa	NAM
,	PUN
bilan	NOM
sur	PRP
les	DET:ART
contacts	NOM
entre	PRP
l'	DET:ART
Égée	NAM
et	KON
l'	DET:ART
Anatolie	NOM
.	SENT

Recense	VER:pres
les	DET:ART
trouvailles	NOM
d'	PRP
objets	NOM
crétois	ADJ
ou	KON
mycéniens	ADJ
en	PRP
Anatolie	NOM
centrale	ADJ
et	KON
celles	PRO:DEM
d'	PRP
objets	NOM
hittitisants	ADJ
découverts	VER:pper
en	PRP
Grèce	NAM
et	KON
en	PRP
Anatolie	NOM
mycénienne	ADJ

